condition,seed,coverage,unique_bugs,best_fitness,novelty_score,diversity_score,runtime_sec
COV_ONLY,42,0.883333,9,0.883333,0.883333,0.875898,281.527437
COV_ONLY,43,0.883333,8,0.866667,0.883333,0.869575,339.467417
COV_ONLY,44,0.900000,9,0.883333,0.900000,0.864442,194.311134
COV_ONLY,45,0.883333,11,0.883333,0.883333,0.868684,147.535005
COV_ONLY,46,0.900000,7,0.883333,0.900000,0.867466,131.300313
COV_ONLY,47,0.883333,8,0.866667,0.883333,0.868258,158.537031
COV_ONLY,48,0.900000,10,0.883333,0.900000,0.877213,153.257921
COV_ONLY,49,0.883333,9,0.866667,0.883333,0.871630,170.720827
COV_ONLY,50,0.883333,9,0.866667,0.883333,0.870171,142.298002
COV_ONLY,51,0.883333,7,0.883333,0.883333,0.871051,149.612589
COV_ONLY,52,0.883333,10,0.883333,0.883333,0.864462,171.885094
COV_ONLY,53,0.900000,11,0.883333,0.900000,0.859735,171.484600
COV_ONLY,54,0.883333,8,0.883333,0.883333,0.870122,151.999677
COV_ONLY,55,0.883333,8,0.883333,0.883333,0.872524,148.518634
COV_ONLY,56,0.883333,9,0.883333,0.883333,0.861726,167.135809
BUGS_ONLY,42,0.883333,7,0.700000,0.883333,0.831338,233.437461
BUGS_ONLY,43,0.883333,6,0.600000,0.883333,0.820392,227.189408
BUGS_ONLY,44,0.883333,6,0.600000,0.883333,0.817310,258.087644
BUGS_ONLY,45,0.883333,6,0.600000,0.883333,0.835124,229.595019
BUGS_ONLY,46,0.883333,6,0.600000,0.883333,0.829415,195.097179
BUGS_ONLY,47,0.883333,6,0.600000,0.883333,0.849713,218.527274
BUGS_ONLY,48,0.883333,6,0.600000,0.883333,0.829854,217.764315
BUGS_ONLY,49,0.883333,6,0.600000,0.883333,0.822919,252.448606
BUGS_ONLY,50,0.883333,6,0.600000,0.883333,0.805395,235.765730
BUGS_ONLY,51,0.883333,6,0.600000,0.883333,0.833469,229.827419
BUGS_ONLY,52,0.883333,6,0.600000,0.883333,0.838619,259.187313
BUGS_ONLY,53,0.883333,6,0.600000,0.883333,0.835128,223.080058
BUGS_ONLY,54,0.883333,6,0.600000,0.883333,0.816497,243.612591
BUGS_ONLY,55,0.883333,6,0.600000,0.883333,0.828518,250.333565
BUGS_ONLY,56,0.883333,7,0.600000,0.883333,0.841525,220.109399
COV_BUGS,42,0.883333,9,0.783333,0.883333,0.859644,145.332865
COV_BUGS,43,0.883333,9,0.775000,0.883333,0.865745,157.666755
COV_BUGS,44,0.900000,7,0.758333,0.900000,0.859010,157.016698
COV_BUGS,45,0.883333,9,0.783333,0.883333,0.876684,166.177484
COV_BUGS,46,0.883333,8,0.783333,0.883333,0.867536,194.461136
COV_BUGS,47,0.883333,8,0.741667,0.883333,0.860553,338.244575
COV_BUGS,48,0.883333,7,0.775000,0.883333,0.857114,297.608002
COV_BUGS,49,0.883333,8,0.766667,0.883333,0.864340,381.761908
COV_BUGS,50,0.883333,8,0.766667,0.883333,0.869694,232.678334
COV_BUGS,51,0.883333,7,0.766667,0.883333,0.861687,319.722280
COV_BUGS,52,0.883333,10,0.775000,0.883333,0.858436,366.212271
COV_BUGS,53,0.883333,9,0.783333,0.883333,0.866310,344.800235
COV_BUGS,54,0.883333,8,0.775000,0.883333,0.870366,386.761834
COV_BUGS,55,0.883333,8,0.741667,0.883333,0.867404,407.108475
COV_BUGS,56,0.883333,8,0.783333,0.883333,0.863470,325.266284
FULL,42,0.883333,8,0.672608,0.883333,0.862984,290.011314
FULL,43,0.883333,8,0.672615,0.883333,0.869918,314.562947
FULL,44,0.883333,8,0.646755,0.883333,0.874723,327.280475
FULL,45,0.883333,9,0.679032,0.883333,0.873818,352.566490
FULL,46,0.883333,7,0.644669,0.883333,0.873029,376.055079
FULL,47,0.883333,7,0.649746,0.883333,0.871099,337.180419
FULL,48,0.900000,10,0.677348,0.900000,0.873526,349.397975
FULL,49,0.883333,8,0.675631,0.883333,0.872155,333.397069
FULL,50,0.883333,6,0.644248,0.883333,0.875058,373.629352
FULL,51,0.883333,10,0.658524,0.883333,0.863792,407.556350
FULL,52,0.900000,9,0.684235,0.900000,0.870992,323.115971
FULL,53,0.883333,9,0.684719,0.883333,0.876971,227.903706
FULL,54,0.883333,6,0.650783,0.883333,0.873552,368.961343
FULL,55,0.883333,9,0.661872,0.883333,0.877685,266.739067
FULL,56,0.883333,7,0.672540,0.883333,0.874163,187.108571
