condition,run_id,generation,best_fitness,avg_fitness,best_coverage,best_bugs,novelty,diversity
COV_ONLY,0,0,0.733333,0.656667,0.733333,5,0.816667,0.808276
COV_ONLY,0,1,0.750000,0.676667,0.750000,5,0.850000,0.823508
COV_ONLY,0,2,0.783333,0.693750,0.783333,6,0.866667,0.830921
COV_ONLY,0,3,0.800000,0.709167,0.800000,5,0.866667,0.834944
COV_ONLY,0,4,0.800000,0.727500,0.800000,5,0.866667,0.839465
COV_ONLY,0,5,0.850000,0.738750,0.850000,6,0.883333,0.840605
COV_ONLY,0,6,0.800000,0.737917,0.800000,5,0.883333,0.846121
COV_ONLY,0,7,0.833333,0.756250,0.833333,6,0.883333,0.849574
COV_ONLY,0,8,0.816667,0.772917,0.816667,4,0.883333,0.852478
COV_ONLY,0,9,0.816667,0.768333,0.816667,6,0.883333,0.855090
COV_ONLY,0,10,0.833333,0.769167,0.833333,6,0.883333,0.858739
COV_ONLY,0,11,0.850000,0.763750,0.850000,6,0.883333,0.856608
COV_ONLY,0,12,0.850000,0.783750,0.850000,6,0.883333,0.859656
COV_ONLY,0,13,0.833333,0.784583,0.833333,6,0.883333,0.861423
COV_ONLY,0,14,0.850000,0.799583,0.850000,6,0.883333,0.862320
COV_ONLY,0,15,0.866667,0.766250,0.866667,6,0.883333,0.861362
COV_ONLY,0,16,0.850000,0.797083,0.850000,6,0.883333,0.863617
COV_ONLY,0,17,0.850000,0.807500,0.850000,6,0.883333,0.867234
COV_ONLY,0,18,0.866667,0.798750,0.866667,6,0.883333,0.865687
COV_ONLY,0,19,0.866667,0.808333,0.866667,6,0.883333,0.866430
COV_ONLY,0,20,0.850000,0.804583,0.850000,7,0.883333,0.864088
COV_ONLY,0,21,0.866667,0.804583,0.866667,6,0.883333,0.865949
COV_ONLY,0,22,0.850000,0.798333,0.850000,6,0.883333,0.865884
COV_ONLY,0,23,0.883333,0.818333,0.883333,6,0.883333,0.868346
COV_ONLY,0,24,0.883333,0.818750,0.883333,6,0.883333,0.867540
COV_ONLY,0,25,0.866667,0.817083,0.866667,6,0.883333,0.869327
COV_ONLY,0,26,0.866667,0.812917,0.866667,6,0.883333,0.868767
COV_ONLY,0,27,0.866667,0.823333,0.866667,6,0.883333,0.870134
COV_ONLY,0,28,0.866667,0.816250,0.866667,6,0.883333,0.868913
COV_ONLY,0,29,0.850000,0.818750,0.850000,5,0.883333,0.868444
COV_ONLY,0,30,0.866667,0.819167,0.866667,6,0.883333,0.870185
COV_ONLY,0,31,0.866667,0.822083,0.866667,6,0.883333,0.871523
COV_ONLY,0,32,0.866667,0.822500,0.866667,6,0.883333,0.870389
COV_ONLY,0,33,0.866667,0.828750,0.866667,6,0.883333,0.869599
COV_ONLY,0,34,0.883333,0.827083,0.883333,6,0.883333,0.870898
COV_ONLY,0,35,0.866667,0.804167,0.866667,6,0.883333,0.870716
COV_ONLY,0,36,0.883333,0.831250,0.883333,6,0.883333,0.872537
COV_ONLY,0,37,0.883333,0.814167,0.883333,6,0.883333,0.872334
COV_ONLY,0,38,0.866667,0.829583,0.866667,6,0.883333,0.872162
COV_ONLY,0,39,0.883333,0.827500,0.883333,6,0.883333,0.871693
COV_ONLY,0,40,0.866667,0.833333,0.866667,6,0.883333,0.871492
COV_ONLY,0,41,0.866667,0.821250,0.866667,6,0.883333,0.871546
COV_ONLY,0,42,0.883333,0.828750,0.883333,6,0.883333,0.871497
COV_ONLY,0,43,0.866667,0.818333,0.866667,6,0.883333,0.871124
COV_ONLY,0,44,0.866667,0.829583,0.866667,5,0.883333,0.870621
COV_ONLY,0,45,0.866667,0.824167,0.866667,6,0.883333,0.868418
COV_ONLY,0,46,0.883333,0.830417,0.883333,6,0.883333,0.868987
COV_ONLY,0,47,0.883333,0.835833,0.883333,6,0.883333,0.870123
COV_ONLY,0,48,0.866667,0.837083,0.866667,5,0.883333,0.871086
COV_ONLY,0,49,0.883333,0.841250,0.883333,6,0.883333,0.871928
COV_ONLY,0,50,0.883333,0.832917,0.883333,6,0.883333,0.871464
COV_ONLY,0,51,0.883333,0.844583,0.883333,6,0.883333,0.873684
COV_ONLY,0,52,0.883333,0.840833,0.883333,6,0.883333,0.872067
COV_ONLY,0,53,0.883333,0.839583,0.883333,6,0.883333,0.871220
COV_ONLY,0,54,0.883333,0.835833,0.883333,6,0.883333,0.871157
COV_ONLY,0,55,0.883333,0.837500,0.883333,6,0.883333,0.870674
COV_ONLY,0,56,0.883333,0.844583,0.883333,6,0.883333,0.870672
COV_ONLY,0,57,0.883333,0.849167,0.883333,6,0.883333,0.870310
COV_ONLY,0,58,0.883333,0.837917,0.883333,6,0.883333,0.871073
COV_ONLY,0,59,0.883333,0.847083,0.883333,6,0.883333,0.870116
COV_ONLY,1,0,0.733333,0.665417,0.733333,4,0.816667,0.808560
COV_ONLY,1,1,0.733333,0.675417,0.733333,5,0.850000,0.822726
COV_ONLY,1,2,0.733333,0.677500,0.733333,5,0.850000,0.830643
COV_ONLY,1,3,0.750000,0.694583,0.750000,4,0.866667,0.833372
COV_ONLY,1,4,0.766667,0.704167,0.766667,4,0.866667,0.837982
COV_ONLY,1,5,0.766667,0.712083,0.766667,4,0.866667,0.843037
COV_ONLY,1,6,0.766667,0.708750,0.766667,5,0.866667,0.845380
COV_ONLY,1,7,0.800000,0.722917,0.800000,5,0.866667,0.849119
COV_ONLY,1,8,0.783333,0.728750,0.783333,4,0.866667,0.847214
COV_ONLY,1,9,0.783333,0.713333,0.783333,5,0.866667,0.844977
COV_ONLY,1,10,0.800000,0.735000,0.800000,4,0.883333,0.850097
COV_ONLY,1,11,0.800000,0.740417,0.800000,5,0.883333,0.850618
COV_ONLY,1,12,0.800000,0.741250,0.800000,5,0.883333,0.853490
COV_ONLY,1,13,0.816667,0.744583,0.816667,6,0.883333,0.853289
COV_ONLY,1,14,0.800000,0.745000,0.800000,5,0.883333,0.854358
COV_ONLY,1,15,0.816667,0.755000,0.816667,4,0.883333,0.856912
COV_ONLY,1,16,0.800000,0.758333,0.800000,5,0.883333,0.856153
COV_ONLY,1,17,0.816667,0.752500,0.816667,4,0.883333,0.858592
COV_ONLY,1,18,0.800000,0.755000,0.800000,4,0.883333,0.858698
COV_ONLY,1,19,0.833333,0.760417,0.833333,5,0.883333,0.857421
COV_ONLY,1,20,0.800000,0.763750,0.800000,4,0.883333,0.858220
COV_ONLY,1,21,0.816667,0.768750,0.816667,4,0.883333,0.861555
COV_ONLY,1,22,0.816667,0.776250,0.816667,5,0.883333,0.862226
COV_ONLY,1,23,0.816667,0.762500,0.816667,4,0.883333,0.861449
COV_ONLY,1,24,0.833333,0.769167,0.833333,4,0.883333,0.862433
COV_ONLY,1,25,0.833333,0.759167,0.833333,5,0.883333,0.860216
COV_ONLY,1,26,0.833333,0.775417,0.833333,6,0.883333,0.861731
COV_ONLY,1,27,0.833333,0.765000,0.833333,5,0.883333,0.860745
COV_ONLY,1,28,0.833333,0.791250,0.833333,4,0.883333,0.863933
COV_ONLY,1,29,0.833333,0.783333,0.833333,5,0.883333,0.864799
COV_ONLY,1,30,0.816667,0.782917,0.816667,5,0.883333,0.864164
COV_ONLY,1,31,0.850000,0.787083,0.850000,6,0.883333,0.867250
COV_ONLY,1,32,0.850000,0.795000,0.850000,5,0.883333,0.868661
