mode,seed,total_inputs,coverage,unique_bugs,best_fitness,runtime_sec,generations,population_size,samples_per_individual,mutation_rate,crossover_rate,novelty_score,diversity_score,avg_input_length
baseline,42,360000,0.568182,3,0.359091,12.878846,60,40,150,0.120000,0.850000,0.000000,0.000000,23.59
baseline,44,360000,0.568182,3,0.359091,9.877644,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,46,360000,0.568182,3,0.359091,9.719605,60,40,150,0.120000,0.850000,0.000000,0.000000,23.59
baseline,48,360000,0.568182,3,0.359091,9.599688,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,50,360000,0.568182,3,0.359091,9.328822,60,40,150,0.120000,0.850000,0.000000,0.000000,23.59
baseline,52,360000,0.568182,3,0.359091,9.682519,60,40,150,0.120000,0.850000,0.000000,0.000000,23.61
baseline,54,360000,0.568182,3,0.359091,9.413802,60,40,150,0.120000,0.850000,0.000000,0.000000,23.62
baseline,56,360000,0.568182,3,0.359091,9.614342,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,58,360000,0.568182,3,0.359091,9.854108,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,60,360000,0.568182,3,0.359091,9.838102,60,40,150,0.120000,0.850000,0.000000,0.000000,23.57
baseline,62,360000,0.568182,3,0.359091,9.998812,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,64,360000,0.568182,3,0.359091,9.640047,60,40,150,0.120000,0.850000,0.000000,0.000000,23.59
baseline,66,360000,0.568182,3,0.359091,9.213753,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,68,360000,0.568182,3,0.359091,10.036123,60,40,150,0.120000,0.850000,0.000000,0.000000,23.61
baseline,70,360000,0.568182,3,0.359091,9.667423,60,40,150,0.120000,0.850000,0.000000,0.000000,23.61
baseline,72,360000,0.568182,3,0.359091,9.919775,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,74,360000,0.568182,3,0.359091,9.623014,60,40,150,0.120000,0.850000,0.000000,0.000000,23.58
baseline,76,360000,0.568182,3,0.359091,9.882763,60,40,150,0.120000,0.850000,0.000000,0.000000,23.60
baseline,78,360000,0.568182,3,0.359091,9.762245,60,40,150,0.120000,0.850000,0.000000,0.000000,23.59
baseline,80,360000,0.568182,3,0.359091,9.371689,60,40,150,0.120000,0.850000,0.000000,0.000000,23.62
adaptive,42,360000,0.568182,3,0.474987,17.548765,60,40,150,0.120000,0.850000,0.568182,0.810316,27.72
adaptive,44,360000,0.568182,3,0.474815,13.533834,60,40,150,0.120000,0.850000,0.568182,0.805496,28.40
adaptive,46,360000,0.568182,3,0.450179,12.180354,60,40,150,0.120000,0.850000,0.568182,0.805399,26.24
adaptive,48,360000,0.568182,3,0.448674,12.686812,60,40,150,0.120000,0.850000,0.568182,0.807056,28.31
adaptive,50,360000,0.568182,3,0.474942,11.723401,60,40,150,0.120000,0.850000,0.568182,0.804536,26.50
adaptive,52,360000,0.568182,3,0.474071,11.990313,60,40,150,0.120000,0.850000,0.568182,0.803129,26.36
adaptive,54,360000,0.568182,3,0.458518,12.623866,60,40,150,0.120000,0.850000,0.568182,0.807626,28.68
adaptive,56,360000,0.568182,3,0.475977,12.504798,60,40,150,0.120000,0.850000,0.568182,0.801990,28.41
adaptive,58,360000,0.568182,3,0.490339,12.075233,60,40,150,0.120000,0.850000,0.568182,0.804942,27.40
adaptive,60,360000,0.568182,3,0.474651,9.650807,60,40,150,0.120000,0.850000,0.568182,0.801107,25.74
adaptive,62,360000,0.568182,3,0.476032,12.726953,60,40,150,0.120000,0.850000,0.568182,0.803792,29.08
adaptive,64,360000,0.568182,3,0.489513,11.903316,60,40,150,0.120000,0.850000,0.568182,0.798895,27.80
adaptive,66,360000,0.568182,3,0.470865,12.175545,60,40,150,0.120000,0.850000,0.568182,0.805201,27.19
adaptive,68,360000,0.568182,3,0.490829,10.915819,60,40,150,0.120000,0.850000,0.568182,0.804434,25.78
adaptive,70,360000,0.568182,3,0.438340,10.173652,60,40,150,0.120000,0.850000,0.568182,0.802415,23.33
adaptive,72,360000,0.568182,3,0.439214,11.809276,60,40,150,0.120000,0.850000,0.568182,0.802072,25.80
adaptive,74,360000,0.568182,3,0.474257,11.732389,60,40,150,0.120000,0.850000,0.568182,0.804808,26.99
adaptive,76,360000,0.568182,3,0.449006,12.982655,60,40,150,0.120000,0.850000,0.568182,0.805566,29.09
adaptive,78,360000,0.568182,3,0.473395,12.325842,60,40,150,0.120000,0.850000,0.568182,0.808436,28.54
adaptive,80,360000,0.568182,3,0.476043,13.631669,60,40,150,0.120000,0.850000,0.568182,0.800079,30.92
