mode,seed,total_inputs,coverage,unique_bugs,best_fitness,runtime_sec,generations,population_size,samples_per_individual,mutation_rate,crossover_rate,novelty_score,diversity_score,avg_input_length
baseline,42,20000,0.833333,6,0.566667,14.813789,20,20,50,0.120000,0.850000,0.000000,0.000000,125.00
baseline,44,20000,0.833333,6,0.566667,14.810835,20,20,50,0.120000,0.850000,0.000000,0.000000,125.10
baseline,46,20000,0.833333,6,0.566667,14.694280,20,20,50,0.120000,0.850000,0.000000,0.000000,125.05
baseline,48,20000,0.850000,6,0.575000,14.846066,20,20,50,0.120000,0.850000,0.000000,0.000000,125.08
baseline,50,20000,0.816667,6,0.558333,6.554932,20,20,50,0.120000,0.850000,0.000000,0.000000,124.97
baseline,52,20000,0.866667,6,0.583333,6.552453,20,20,50,0.120000,0.850000,0.000000,0.000000,124.98
baseline,54,20000,0.850000,6,0.575000,6.660438,20,20,50,0.120000,0.850000,0.000000,0.000000,125.13
baseline,56,20000,0.833333,6,0.566667,6.594418,20,20,50,0.120000,0.850000,0.000000,0.000000,125.33
baseline,58,20000,0.833333,6,0.566667,6.579489,20,20,50,0.120000,0.850000,0.000000,0.000000,124.88
baseline,60,20000,0.833333,6,0.566667,6.557900,20,20,50,0.120000,0.850000,0.000000,0.000000,125.19
baseline,62,20000,0.850000,6,0.575000,6.563137,20,20,50,0.120000,0.850000,0.000000,0.000000,124.78
baseline,64,20000,0.850000,6,0.575000,6.617619,20,20,50,0.120000,0.850000,0.000000,0.000000,124.93
baseline,66,20000,0.850000,6,0.575000,6.560601,20,20,50,0.120000,0.850000,0.000000,0.000000,125.05
baseline,68,20000,0.850000,6,0.575000,6.568620,20,20,50,0.120000,0.850000,0.000000,0.000000,125.06
baseline,70,20000,0.850000,6,0.575000,6.568571,20,20,50,0.120000,0.850000,0.000000,0.000000,125.13
adaptive,42,20000,0.850000,7,0.575468,13.581363,20,20,50,0.120000,0.850000,0.850000,0.843708,122.10
adaptive,44,20000,0.883333,7,0.608617,11.187595,20,20,50,0.120000,0.850000,0.883333,0.843449,106.17
adaptive,46,20000,0.866667,6,0.615929,12.972385,20,20,50,0.120000,0.850000,0.866667,0.844557,117.57
adaptive,48,20000,0.866667,7,0.609547,9.244702,20,20,50,0.120000,0.850000,0.866667,0.847147,119.32
adaptive,50,20000,0.866667,9,0.601202,5.353222,20,20,50,0.120000,0.850000,0.866667,0.841646,118.74
adaptive,52,20000,0.850000,6,0.557953,5.828777,20,20,50,0.120000,0.850000,0.850000,0.830605,121.43
adaptive,54,20000,0.866667,10,0.608784,5.368913,20,20,50,0.120000,0.850000,0.866667,0.838756,118.52
adaptive,56,20000,0.866667,9,0.591496,5.589346,20,20,50,0.120000,0.850000,0.866667,0.842600,119.58
adaptive,58,20000,0.850000,8,0.607850,6.008068,20,20,50,0.120000,0.850000,0.850000,0.828517,122.42
adaptive,60,20000,0.833333,5,0.565887,6.209339,20,20,50,0.120000,0.850000,0.833333,0.836591,123.32
adaptive,62,20000,0.850000,7,0.582495,5.528540,20,20,50,0.120000,0.850000,0.850000,0.830879,119.63
adaptive,64,20000,0.850000,7,0.565032,6.109866,20,20,50,0.120000,0.850000,0.850000,0.825912,123.81
adaptive,66,20000,0.883333,7,0.591747,5.695960,20,20,50,0.120000,0.850000,0.883333,0.845388,115.49
adaptive,68,20000,0.850000,6,0.565114,6.041977,20,20,50,0.120000,0.850000,0.850000,0.815844,122.80
adaptive,70,20000,0.883333,10,0.618194,5.400674,20,20,50,0.120000,0.850000,0.883333,0.850433,113.67
